Sentence type,Sample
DECLARATIVE WH-QUESTION,You have any idea how long it takes?
DECLARATIVE WH-QUESTION,You know what company will deliver my package?
DECLARATIVE WH-QUESTION,Do you see how we can solve that?
DECLARATIVE WH-QUESTION,Are going you going to know what to do?
"OFFERS, OPTIONS & COMMITS",Let me think about it
"OFFERS, OPTIONS & COMMITS",I'll have to check this.
"OFFERS, OPTIONS & COMMITS",I need to take a look at this.
"OFFERS, OPTIONS & COMMITS",Give me a second to check this out.
"OFFERS, OPTIONS & COMMITS",I'll think about it
CONVENTIONAL-OPENING,How are you?
CONVENTIONAL-OPENING,How is your day going.
CONVENTIONAL-OPENING,Welcome.
CONVENTIONAL-OPENING,Hi there.
SIGNAL-NON-UNDERSTANDING,Excuse me?
SIGNAL-NON-UNDERSTANDING,Can you repeat that?
SIGNAL-NON-UNDERSTANDING,What?
SIGNAL-NON-UNDERSTANDING,Can you say it again?
SIGNAL-NON-UNDERSTANDING,I think I couldn't understand.
SIGNAL-NON-UNDERSTANDING,Sorry I couldn't get you.
SIGNAL-NON-UNDERSTANDING,Could you please explain what do you mean exactly?
REJECT,No
REJECT,I can't
REJECT,Unfortunately
REJECT,I can't say yes to this.
REJECT,Not at this moment
REJECT,Maybe next time.
OPEN-QUESTION,How do you see your future?
OPEN-QUESTION,Tell me about yourself.
OPEN-QUESTION,Why did you ask that?
OPEN-QUESTION,How should I return my package?
OPEN-QUESTION,What is the purpose of your friend?
BACKCHANNEL-QUESTION,"Oh, really?"
BACKCHANNEL-QUESTION,Is that right?
BACKCHANNEL-QUESTION,Are you kidding?
BACKCHANNEL-QUESTION,Is it for real?
DECLARATIVE YES-NO-QUESTION,"Well, you are a Dutch citizen?"
DECLARATIVE YES-NO-QUESTION,"So, you like to play guitar?"
DECLARATIVE YES-NO-QUESTION,"Then, you don't want to quit?"
DECLARATIVE YES-NO-QUESTION,"You think, you will leave?"
DECLARATIVE YES-NO-QUESTION,You will pay me back then?
DECLARATIVE YES-NO-QUESTION,Do you have my product?
RESPONSE ACKNOWLEDGMENT,"Oh, ok."
RESPONSE ACKNOWLEDGMENT,"Hmm, make sense"
RESPONSE ACKNOWLEDGMENT,I see your point
RESPONSE ACKNOWLEDGMENT,I understand.
RESPONSE ACKNOWLEDGMENT,I get you
NO ANSWERS,"No, It is not"
NO ANSWERS,Unfortunately no
NO ANSWERS,"No, I would not do that"
WH-QUESTION,What do you want to do?
WH-QUESTION,Why do you want to do this?
WH-QUESTION,Which movie do you like most?
WH-QUESTION,Where do you live?
WH-QUESTION,When will you go on holiday?
WH-QUESTION,Who do you think you are?
CONVENTIONAL-CLOSING,Thank you.
CONVENTIONAL-CLOSING,Well It was really nice to talk to you.
CONVENTIONAL-CLOSING,It was a nice conversation.
CONVENTIONAL-CLOSING,Hope to see you again.
CONVENTIONAL-CLOSING,Have a nice day
CONVENTIONAL-CLOSING,Hope you have a nice day.
YES ANSWERS,Yes of course
YES ANSWERS,Yes I can do that
YES ANSWERS,Yes please
YES ANSWERS,Yes let's do this.
APPRECIATION,I got it.
APPRECIATION,I got your point.
APPRECIATION,I understand.
APPRECIATION,I can imagine.
APPRECIATION,I see.
AGREEMENT/ACCEPT,That's it.
AGREEMENT/ACCEPT,Of course.
AGREEMENT/ACCEPT,Exactly.
AGREEMENT/ACCEPT,Sure.
AGREEMENT/ACCEPT,I'm fine
MAYBE/ACCEPT-PART,Maybe I can
MAYBE/ACCEPT-PART,Let me see If I can do this.
MAYBE/ACCEPT-PART,I am not sure I can do this.
MAYBE/ACCEPT-PART,Probably
MAYBE/ACCEPT-PART,Most possibly
OPINION,I think this is it.
OPINION,"In my opinion, this is great."
OPINION,From my perspective It is awesome.
OPINION,I would say this is great.
OPINION,My impression is that is great.
APOLOGY,I am so sorry
APOLOGY,I apologize for that.
APOLOGY,Please forgive me.
APOLOGY,I am sorry.
APOLOGY,I shouldn't have done this.
THANKING,Thank you so much.
THANKING,I appreciate it.
THANKING,You are so kind.
THANKING,My sincere appreciation
THANKING,Please accept my appreciation.
STATEMENT,I am from Turkey.
STATEMENT,I like to play guitar.
STATEMENT,I have a son.
STATEMENT,I want to go to cinema.
STATEMENT,I am a computer engineer.
SUMMARIZE/REFORMULATE,"Oh, you mean you are a sofware engineer."
SUMMARIZE/REFORMULATE,"Well, you think you don't like our product."
SUMMARIZE/REFORMULATE,As far as I can understand you want to buy a house.
SUMMARIZE/REFORMULATE,You mean you want to return your title.
SUMMARIZE/REFORMULATE,You meant the product is broken
RESPONSE ACKNOWLEDGMENT,alright
NO ANSWERS,No way
NO ANSWERS,"No, that's not possible"
DECLARATIVE WH-QUESTION,Did you get what I said?
DECLARATIVE WH-QUESTION,Do you see why I'm calling you?
DECLARATIVE WH-QUESTION,Do you know why my package is not delivered
DECLARATIVE WH-QUESTION,Are sure how long it will take?
DECLARATIVE YES-NO-QUESTION,Are you going to return?
DECLARATIVE YES-NO-QUESTION,Can I talk to a human?
DECLARATIVE YES-NO-QUESTION,Is the product water proof?
DECLARATIVE YES-NO-QUESTION,Is it a good brand?
DECLARATIVE YES-NO-QUESTION,Am I able to buy it?
DECLARATIVE YES-NO-QUESTION,Is it in stock?
CONVENTIONAL-OPENING,Hey
CONVENTIONAL-OPENING,Heeey
CONVENTIONAL-OPENING,How is it going?
CONVENTIONAL-OPENING,Hee
CONVENTIONAL-OPENING,How you doing?
REJECT,I'm not
STATEMENT,I would like to hear about animals
STATEMENT,I would love to hear about countries
STATEMENT,I want about cars
STATEMENT,About my order
OPEN-QUESTION, How is the weather today?
OPEN-QUESTION, How is the mood of the sky?
YES-NO-QUESTION, Is the weather bad?
YES-NO-QUESTION, Is the weather good?
YES-NO-QUESTION, Is the weather cloudy?
YES-NO-QUESTION, Is the weather sunny?
